"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.294338333E0,3.852987671E0,6.536906433E-1,1.112187195E0
3.304296333E0,3.767814789E0,6.385720825E-1,1.779050446E0
3.314254333E0,3.783831482E0,6.475534058E-1,2.520308990E0
3.324212333E0,4.346361694E0,6.649172974E-1,3.578907623E0
3.334170333E0,4.980443115E0,8.616082764E-1,4.574187927E0
3.344128333E0,5.481451263E0,1.175355835E0,5.202132111E0
3.354086333E0,5.626050568E0,1.573976898E0,6.345903625E0
3.364044333E0,5.518574066E0,1.925745392E0,7.760611725E0
3.374002333E0,5.497767334E0,2.346520386E0,9.090296631E0
3.383960333E0,5.765410767E0,3.475023651E0,1.042342438E1
3.393918333E0,6.095474396E0,5.154980164E0,1.162781982E1
3.403876333E0,5.801785126E0,6.685996399E0,1.152917496E1
3.413833333E0,5.351371765E0,8.173602905E0,9.943672028E0
3.423791333E0,5.102140045E0,9.955796814E0,8.524323578E0
3.433749333E0,4.704267426E0,1.162048508E1,8.025560760E0
3.443707333E0,4.441713409E0,1.284763321E1,8.146359558E0
3.453665333E0,4.514911194E0,1.374711273E1,8.846902771E0
3.463623333E0,4.476740570E0,1.392928391E1,9.736353149E0
3.473581333E0,4.312232666E0,1.333397186E1,1.030576904E1
3.483539333E0,4.607718201E0,1.250364853E1,1.090646988E1
3.493497333E0,5.669759674E0,1.186971680E1,1.188797882E1
3.503455333E0,6.842271423E0,1.110720245E1,1.313533493E1
3.513413333E0,7.246281281E0,1.003408401E1,1.369741608E1
3.523371333E0,6.739884338E0,8.925489349E0,1.275871811E1
3.533329333E0,5.632487183E0,7.981402588E0,1.099658249E1
3.543287333E0,4.408183136E0,7.028633881E0,8.865913239E0
3.553245333E0,3.244053955E0,6.295458527E0,6.691983948E0
3.563203333E0,2.260000305E0,5.767955475E0,4.696184235E0
3.573161333E0,1.431024170E0,5.320685577E0,3.153791656E0
3.583119333E0,6.617738342E-1,4.827461243E0,2.114203491E0
3.593077333E0,4.879852295E-2,4.393064575E0,1.507964172E0
3.603035333E0,-3.345542908E-1,4.056115265E0,1.380279694E0
3.612993333E0,-4.156855774E-1,3.704047394E0,1.593436432E0
3.622951333E0,-3.911366272E-1,3.481310577E0,2.487227783E0
3.632908333E0,-6.523434448E-1,3.441194000E0,3.942651215E0
3.642866333E0,-7.512876892E-1,3.301983490E0,5.247487793E0
3.652824333E0,-6.120771790E-1,3.317102051E0,6.148913269E0
3.662782333E0,-4.415817261E-1,3.565285950E0,6.543343048E0
3.672740333E0,-4.083508301E-1,3.876039734E0,6.381379852E0
3.682698333E0,-2.978805542E-1,4.330195312E0,5.871989136E0
3.692656333E0,2.019300842E-1,5.084776154E0,5.670657806E0
3.702614333E0,7.173083496E-1,5.790259094E0,6.092480621E0
3.712572333E0,1.351389771E0,6.206094360E0,6.741381226E0
3.722530333E0,2.043700104E0,6.619085541E0,8.049211578E0
3.732488333E0,2.318977661E0,6.804699554E0,9.881251831E0
3.742446333E0,2.028581543E0,6.687642975E0,1.162452667E1
3.752404333E0,1.277293854E0,6.610104218E0,1.271620651E1
3.762362333E0,3.986210632E-1,6.987768860E0,1.275467651E1
3.772320333E0,-3.944297791E-1,7.774083710E0,1.150717072E1
3.782278333E0,-4.887336731E-1,8.863518219E0,1.023586441E1
3.792236333E0,-1.610650635E-1,9.656868439E0,9.535021820E0
3.802194333E0,7.827223206E-1,9.854756927E0,9.230405273E0
3.812152333E0,2.587818604E0,1.004575974E1,9.620344391E0
3.822110333E0,4.521347809E0,1.046399002E1,1.080093933E1
3.832068333E0,5.751340027E0,1.077908478E1,1.199530563E1
