"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.517148333E0,-9.511015415E-1,-2.562884092E0,-7.583426237E-1
3.527106333E0,-1.057989120E0,-1.839698553E0,-7.772952914E-1
3.537064333E0,-1.194700956E0,-1.159172058E0,-7.906354070E-1
3.547022333E0,-1.350510597E0,-6.079856157E-1,-8.142928481E-1
3.556980333E0,-1.506787181E0,-2.240954489E-1,-8.560237885E-1
3.566938333E0,-1.623858094E0,-1.654464565E-2,-9.158732295E-1
3.576896333E0,-1.685322046E0,5.134154484E-2,-9.697842002E-1
3.586854333E0,-1.698453546E0,-1.063261181E-2,-9.977335334E-1
3.596812333E0,-1.662481189E0,-1.454425752E-1,-9.969690442E-1
3.606770333E0,-1.569353342E0,-3.395294845E-1,-9.695593119E-1
3.616728333E0,-1.380960107E0,-5.690931082E-1,-9.139062762E-1
3.626686333E0,-1.060938716E0,-7.383407354E-1,-8.252872229E-1
3.636643333E0,-6.346440911E-1,-8.101691604E-1,-6.870133281E-1
3.646601333E0,-1.594323218E-1,-7.705418468E-1,-5.297099948E-1
3.656559333E0,2.920450866E-1,-6.013243198E-1,-4.044626355E-1
3.666517333E0,6.445104480E-1,-3.449380398E-1,-3.058721423E-1
3.676475333E0,8.403650522E-1,-6.888209283E-2,-2.239211202E-1
3.686433333E0,8.865368366E-1,2.077809274E-1,-1.885388941E-1
3.696391333E0,8.383807540E-1,5.635457635E-1,-1.850654185E-1
3.706349333E0,7.418907285E-1,9.438411593E-1,-2.134941369E-1
3.716307333E0,6.869751215E-1,1.342854977E0,-2.807862461E-1
3.726265333E0,7.716234326E-1,1.758946776E0,-3.432592154E-1
3.736223333E0,1.030364037E0,2.140462875E0,-2.978809476E-1
3.746181333E0,1.379201889E0,2.474281073E0,-1.358052343E-1
3.756139333E0,1.729516983E0,2.694695711E0,1.320961565E-1
3.766097333E0,1.987511516E0,2.593505859E0,4.652501643E-1
