"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.857124537E1,3.074027061E1,-3.402323532E1,-1.071209717E1
2.858120337E1,3.002084541E1,-3.451617432E1,-1.105029297E1
2.859116137E1,2.946599388E1,-3.494396210E1,-1.132179260E1
2.860111937E1,2.906043816E1,-3.528303146E1,-1.163955688E1
2.861107737E1,2.861299324E1,-3.557529068E1,-1.182583618E1
2.862103437E1,2.838398552E1,-3.580915451E1,-1.170181274E1
2.863099237E1,2.797352409E1,-3.586388016E1,-1.176661682E1
2.864095037E1,2.756976509E1,-3.610618210E1,-1.166220093E1
2.865090837E1,2.720201302E1,-3.635656738E1,-1.138664246E1
2.866086637E1,2.684525490E1,-3.651168823E1,-1.150318909E1
2.867082437E1,2.653051567E1,-3.672193146E1,-1.131695557E1
2.868078237E1,2.611556435E1,-3.702163696E1,-1.141276550E1
2.869073937E1,2.579862022E1,-3.739247894E1,-1.111779785E1
2.870069737E1,2.534073448E1,-3.766928482E1,-1.104524231E1
2.871065537E1,2.509968376E1,-3.798278046E1,-1.073516846E1
2.872061337E1,2.487766457E1,-3.834911728E1,-1.043229675E1
2.873057137E1,2.441543007E1,-3.855141830E1,-1.028811646E1
2.874052937E1,2.441285515E1,-3.875223541E1,-9.626144409E0
2.875048737E1,2.441124916E1,-3.895962524E1,-9.308486938E0
2.876044437E1,2.427686501E1,-3.891705704E1,-8.878860474E0
2.877040237E1,2.438386726E1,-3.901755142E1,-8.354843140E0
2.878036037E1,2.461582756E1,-3.895117188E1,-8.316192627E0
2.879031837E1,2.508578300E1,-3.886260223E1,-7.784469604E0
2.880027637E1,2.558049583E1,-3.857709122E1,-7.657714844E0
2.881023437E1,2.615405083E1,-3.805158615E1,-7.497253418E0
2.882019137E1,2.676831627E1,-3.770863342E1,-7.162216187E0
2.883014937E1,2.762497520E1,-3.739031601E1,-6.877563477E0
2.884010737E1,2.839575768E1,-3.685200119E1,-6.859512329E0
2.885006537E1,2.893537521E1,-3.619348907E1,-6.781219482E0
2.886002337E1,2.977758408E1,-3.562892532E1,-7.103057861E0
2.886998137E1,3.043542099E1,-3.487118530E1,-7.588699341E0
2.887993937E1,3.103527069E1,-3.426441574E1,-8.484832764E0
2.888989637E1,3.141910172E1,-3.344604874E1,-9.258239746E0
2.889985437E1,3.195841980E1,-3.283926010E1,-1.029963684E1
2.890981237E1,3.239503098E1,-3.208826828E1,-1.157507324E1
2.891977037E1,3.264265823E1,-3.145806122E1,-1.240159607E1
2.892972837E1,3.267260361E1,-3.068650436E1,-1.332659912E1
2.893968637E1,3.277319336E1,-3.041006088E1,-1.387619019E1
