"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.858887728E2,2.259102868E1,1.139627545E2,2.159881258E1,2.125748816E0,3.422776261E2,1.422838394E1,1.422838394E1
1.868887749E2,2.259104256E1,1.139627502E2,2.224098271E1,1.413207469E0,3.420203206E2,1.422716612E1,1.422716612E1
1.878887768E2,2.259105695E1,1.139627362E2,2.225967855E1,1.737376740E0,3.323625990E2,1.422989307E1,1.422989307E1
1.888887782E2,2.259107748E1,1.139627292E2,2.239797846E1,1.992327756E0,3.357013910E2,1.423632849E1,1.423632849E1
1.898887795E2,2.259109837E1,1.139627135E2,2.248171099E1,2.155768038E0,3.285323699E2,1.424442193E1,1.424442193E1
1.908887810E2,2.259111697E1,1.139627097E2,2.257142383E1,1.997302481E0,3.343191562E2,1.423585056E1,1.423585056E1
1.918887831E2,2.259113756E1,1.139626968E2,2.205825136E1,2.285730174E0,3.304600671E2,1.423471029E1,1.423471029E1
1.928887838E2,2.259115014E1,1.139626950E2,2.210504697E1,1.445894573E0,3.305490355E2,1.423488084E1,1.423488084E1
1.938887866E2,2.259117078E1,1.139626752E2,2.304281830E1,2.262405902E0,3.239270762E2,1.423541005E1,1.423541005E1
1.948887869E2,2.259117965E1,1.139626671E2,2.294703942E1,1.352920811E0,3.191014466E2,1.423624363E1,1.423624363E1
1.958887888E2,2.259118534E1,1.139626380E2,2.324505943E1,1.954808843E0,2.944815231E2,1.423664154E1,1.423664154E1
1.968887906E2,2.259118717E1,1.139626185E2,2.237116831E1,1.946966223E0,2.807935853E2,1.424308240E1,1.424308240E1
1.978887917E2,2.259120295E1,1.139626038E2,2.313437979E1,1.841939075E0,2.922956901E2,1.424079916E1,1.424079916E1
1.988887933E2,2.259122224E1,1.139625869E2,2.232077411E1,1.986810105E0,3.048280184E2,1.424193879E1,1.424193879E1
1.998887954E2,2.259123825E1,1.139625659E2,2.160777285E1,2.237514086E0,3.065607043E2,1.424333750E1,1.424333750E1
2.008887966E2,2.259124333E1,1.139625595E2,2.126454008E1,1.349306620E0,3.133931285E2,1.424145088E1,1.424145088E1
2.018887987E2,2.259125908E1,1.139625406E2,2.091994625E1,1.883798132E0,3.128748394E2,1.424387438E1,1.424387438E1
2.028887993E2,2.259126668E1,1.139625201E2,2.036653690E1,1.932476108E0,3.045830527E2,1.424274162E1,1.424274162E1
2.038888006E2,2.259127500E1,1.139624953E2,2.045385635E1,2.123779550E0,2.986252101E2,1.424052039E1,1.424052039E1
2.048888021E2,2.259128124E1,1.139624721E2,2.015911193E1,2.136431084E0,2.928540481E2,1.423794224E1,1.423794224E1
2.058888034E2,2.259128543E1,1.139624466E2,2.089862752E1,2.172585424E0,2.874320876E2,1.423419549E1,1.423419549E1
2.068888048E2,2.259128834E1,1.139624235E2,2.051164258E1,2.198567434E0,2.826846701E2,1.423884145E1,1.423884145E1
2.078888063E2,2.259128823E1,1.139624063E2,2.065683650E1,1.951166075E0,2.771553696E2,1.423955887E1,1.423955887E1
2.088888075E2,2.259129676E1,1.139623709E2,2.179141326E1,2.433248731E0,2.794042615E2,1.423793255E1,1.423793255E1
2.098888091E2,2.259129805E1,1.139623542E2,2.094754266E1,2.251739934E0,2.773064426E2,1.423567310E1,1.423567310E1
