"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.826987219E1,-1.562500000E0,-3.175000000E1,-4.293750000E1
5.827987375E1,-1.437500000E0,-3.187500000E1,-4.287500000E1
5.828987375E1,-1.500000000E0,-3.200000000E1,-4.293750000E1
5.829987375E1,-1.500000000E0,-3.237500000E1,-4.281250000E1
5.831987219E1,-1.562500000E0,-3.256250000E1,-4.256250000E1
5.832987375E1,-1.750000000E0,-3.237500000E1,-4.243750000E1
5.833987375E1,-1.687500000E0,-3.243750000E1,-4.225000000E1
5.834987375E1,-1.562500000E0,-3.250000000E1,-4.231250000E1
5.835987375E1,-1.500000000E0,-3.256250000E1,-4.218750000E1
5.836987375E1,-1.500000000E0,-3.256250000E1,-4.218750000E1
5.838987375E1,-1.500000000E0,-3.231250000E1,-4.200000000E1
5.840987219E1,-1.375000000E0,-3.231250000E1,-4.212500000E1
5.841987219E1,-1.312500000E0,-3.262500000E1,-4.206250000E1
5.842987375E1,-1.125000000E0,-3.256250000E1,-4.206250000E1
5.843987375E1,-1.250000000E0,-3.262500000E1,-4.200000000E1
5.845987219E1,-1.312500000E0,-3.275000000E1,-4.187500000E1
5.846987219E1,-1.250000000E0,-3.281250000E1,-4.187500000E1
5.847987219E1,-1.125000000E0,-3.293750000E1,-4.168750000E1
5.848987219E1,-1.187500000E0,-3.287500000E1,-4.150000000E1
5.849987375E1,-1.250000000E0,-3.287500000E1,-4.125000000E1
5.851987219E1,-1.312500000E0,-3.306250000E1,-4.125000000E1
5.852987219E1,-1.250000000E0,-3.300000000E1,-4.125000000E1
5.853987219E1,-1.437500000E0,-3.312500000E1,-4.112500000E1
5.854987219E1,-1.500000000E0,-3.318750000E1,-4.125000000E1
5.855987219E1,-1.500000000E0,-3.318750000E1,-4.137500000E1
5.856987375E1,-1.625000000E0,-3.325000000E1,-4.143750000E1
5.857988312E1,-1.750000000E0,-3.331250000E1,-4.131250000E1
5.859987219E1,-1.937500000E0,-3.350000000E1,-4.125000000E1
5.860987375E1,-2.000000000E0,-3.362500000E1,-4.131250000E1
5.862988625E1,-2.000000000E0,-3.343750000E1,-4.168750000E1
5.864987375E1,-1.875000000E0,-3.343750000E1,-4.137500000E1
5.865987375E1,-1.750000000E0,-3.337500000E1,-4.143750000E1
5.867987219E1,-1.687500000E0,-3.318750000E1,-4.181250000E1
5.868987375E1,-1.812500000E0,-3.287500000E1,-4.193750000E1
5.870987375E1,-1.937500000E0,-3.256250000E1,-4.175000000E1
5.871987375E1,-2.125000000E0,-3.262500000E1,-4.175000000E1
5.873987219E1,-2.375000000E0,-3.250000000E1,-4.218750000E1
5.874987219E1,-2.375000000E0,-3.237500000E1,-4.225000000E1
5.875987219E1,-2.437500000E0,-3.218750000E1,-4.231250000E1
5.876987219E1,-2.312500000E0,-3.212500000E1,-4.237500000E1
5.877987375E1,-2.187500000E0,-3.218750000E1,-4.237500000E1
5.879987375E1,-2.062500000E0,-3.206250000E1,-4.250000000E1
5.881987219E1,-1.937500000E0,-3.181250000E1,-4.243750000E1
5.882987219E1,-1.937500000E0,-3.187500000E1,-4.237500000E1
5.883987219E1,-2.000000000E0,-3.168750000E1,-4.225000000E1
5.884987375E1,-2.000000000E0,-3.156250000E1,-4.218750000E1
