"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.149982000E0,9.098570347E-1,-2.216873318E-1,1.636283696E-1
2.159937000E0,1.028667331E0,-1.362909526E-1,1.262539625E-1
2.169893000E0,1.068669915E0,-3.474061936E-2,1.692411005E-1
2.179849000E0,1.010881066E0,7.503233105E-2,2.906287909E-1
2.189805000E0,8.708907366E-1,1.337624788E-1,4.534459412E-1
2.199761000E0,7.062776089E-1,1.879852116E-1,5.838201642E-1
2.209717000E0,5.606114864E-1,2.548523843E-1,6.202359200E-1
2.219673000E0,4.255808294E-1,2.203812450E-1,5.419614315E-1
2.229629000E0,3.173685968E-1,8.568522334E-2,3.622076213E-1
2.239585000E0,2.608514130E-1,-1.218842715E-1,1.627526730E-1
2.249541000E0,2.667697668E-1,-3.148851395E-1,2.975788526E-2
2.259496000E0,3.338912725E-1,-4.160357118E-1,-5.896782503E-3
2.269452000E0,4.206599891E-1,-4.148916304E-1,7.999948412E-2
2.279408000E0,4.746441543E-1,-3.410724998E-1,2.617283463E-1
2.289364000E0,4.679835737E-1,-2.395083308E-1,4.646212757E-1
2.299320000E0,3.567229509E-1,-1.267842352E-1,6.317803264E-1
2.309276000E0,1.328712404E-1,-6.194558367E-2,7.387405634E-1
2.319232000E0,-1.659087688E-1,-4.198883846E-2,7.457457185E-1
2.329188000E0,-4.342331588E-1,6.267605722E-2,6.360807419E-1
2.339144000E0,-6.102172136E-1,2.623350620E-1,4.591562748E-1
2.349100000E0,-6.918004751E-1,4.758606553E-1,3.060471416E-1
2.359055000E0,-7.296375632E-1,6.383737326E-1,2.138884217E-1
2.369011000E0,-7.339729667E-1,7.436660528E-1,1.926933825E-1
2.378967000E0,-6.956554055E-1,7.706509829E-1,2.398012877E-1
2.388923000E0,-6.132034063E-1,7.254682779E-1,3.205083907E-1
2.398879000E0,-4.893129468E-1,6.224403381E-1,4.072815478E-1
2.408835000E0,-3.289712071E-1,4.672332108E-1,4.907463491E-1
2.418791000E0,-1.562398225E-1,2.945977449E-1,5.603761077E-1
2.428747000E0,-1.333407033E-2,1.375644654E-1,6.120781898E-1
2.438703000E0,7.063391805E-2,1.918407902E-2,6.271746755E-1
2.448658000E0,1.368720531E-1,-4.678641632E-2,6.146705747E-1
2.458614000E0,1.867833734E-1,-1.190233678E-1,5.728747845E-1
2.468570000E0,2.508803308E-1,-1.325514317E-1,5.276830792E-1
2.478526000E0,3.303362131E-1,-9.938306361E-2,5.345690846E-1
2.488482000E0,3.768083751E-1,-7.750333101E-2,5.551113486E-1
2.498438000E0,3.693054914E-1,-8.033722639E-2,5.699216127E-1
2.508394000E0,3.157264292E-1,-1.232953519E-1,5.601302385E-1
2.518350000E0,2.245020419E-1,-1.778763831E-1,5.057293773E-1
2.528306000E0,1.238065884E-1,-2.225698233E-1,4.022011161E-1
2.538262000E0,6.510275602E-2,-2.258840799E-1,2.629424632E-1
2.548217000E0,3.899445757E-2,-2.010993659E-1,1.302715093E-1
2.558173000E0,3.495746059E-3,-2.026832849E-1,2.649327368E-2
2.568129000E0,-4.565688595E-2,-2.557598054E-1,-5.704422668E-2
2.578085000E0,-3.189064935E-2,-4.094147384E-1,-9.967568517E-2
2.588041000E0,1.030772850E-1,-6.520857215E-1,-4.035137594E-2
2.597997000E0,3.003885448E-1,-9.127972722E-1,5.959128961E-2
2.607953000E0,4.966278374E-1,-1.165241122E0,1.347816586E-1
2.617909000E0,6.211869717E-1,-1.285037160E0,1.780228168E-1
2.627865000E0,6.274683475E-1,-1.261811733E0,1.796646416E-1
2.637821000E0,5.570182204E-1,-1.091163397E0,1.311439872E-1
2.647776000E0,4.769274294E-1,-7.419311404E-1,6.078433618E-2
2.657732000E0,4.171921611E-1,-3.138366640E-1,1.397009753E-2
2.667688000E0,3.898196518E-1,3.625528514E-2,1.182678528E-2
2.677644000E0,3.574088514E-1,2.706093788E-1,7.531336695E-2
2.687599583E0,2.252974361E-1,4.150882661E-1,1.732785404E-1
2.697555583E0,-1.088904515E-1,4.516463280E-1,2.009441704E-1
2.707511583E0,-6.005606055E-1,4.362617731E-1,6.057161838E-2
2.717467583E0,-1.101212740E0,4.433290958E-1,-2.142384350E-1
2.727423583E0,-1.460591912E0,5.128128529E-1,-5.748887658E-1
2.737378583E0,-1.524373531E0,7.265869975E-1,-8.948095441E-1
2.747334583E0,-1.358624220E0,9.524874687E-1,-1.078011513E0
2.757290583E0,-1.040951967E0,1.021936417E0,-1.080776095E0
2.767246583E0,-6.239651442E-1,8.851819634E-1,-8.602021337E-1
2.777202583E0,-1.473494172E-1,6.618461609E-1,-4.657110870E-1
2.787158583E0,3.072271347E-1,3.825221360E-1,-2.356563136E-2
2.797114583E0,5.953028202E-1,8.240391314E-2,3.507554233E-1
2.807070583E0,6.357617974E-1,-1.834027320E-1,5.799415112E-1
2.817026583E0,4.804551005E-1,-3.630180955E-1,6.090251207E-1
2.826982583E0,2.712616920E-1,-4.247373939E-1,4.336684942E-1
2.836937583E0,6.937157363E-2,-3.482590318E-1,1.116222665E-1
2.846893583E0,-1.147993281E-1,-2.010370940E-1,-2.420335263E-1
2.856849583E0,-2.935512960E-1,-2.083095536E-2,-5.138954520E-1
2.866805583E0,-4.853870571E-1,1.599627882E-1,-6.897360086E-1
2.876761583E0,-6.519101858E-1,3.119938374E-1,-7.872110009E-1
2.886717583E0,-7.155125737E-1,4.487493038E-1,-7.871465683E-1
2.896673583E0,-6.602980494E-1,5.431202054E-1,-6.887338161E-1
2.906629583E0,-5.356549025E-1,5.433369875E-1,-5.395054817E-1
2.916585583E0,-3.797581196E-1,4.143054187E-1,-4.087831676E-1
2.926540583E0,-2.227546573E-1,1.813475490E-1,-3.390552104E-1
2.936496583E0,-6.911526620E-2,-4.893476143E-2,-3.332564533E-1
2.946452583E0,7.069695741E-2,-2.272392511E-1,-3.901527524E-1
2.956408583E0,1.938048452E-1,-2.661421895E-1,-4.806198776E-1
2.966364583E0,2.873923481E-1,-1.828371882E-1,-5.429165363E-1
2.976320583E0,3.176161349E-1,-4.642630368E-2,-5.265887976E-1
2.986276583E0,2.557594180E-1,3.397692740E-2,-4.517121911E-1
2.996232583E0,1.404192299E-1,5.341570079E-2,-3.645564914E-1
3.006188583E0,4.800221324E-2,3.994143754E-2,-2.710297406E-1
3.016144583E0,1.696691662E-2,-3.583358601E-3,-1.785739362E-1
3.026099583E0,6.791398674E-2,-6.832666695E-2,-1.236726120E-1
3.036055583E0,2.060111463E-1,-1.240738183E-1,-1.011979282E-1
3.046011583E0,3.785293698E-1,-1.607940197E-1,-1.001691446E-1
3.055967583E0,5.126348138E-1,-1.833938658E-1,-1.082119867E-1
3.065923583E0,5.709220767E-1,-1.764134467E-1,-8.976213634E-2
3.075879583E0,5.542090535E-1,-1.499129981E-1,-4.386311769E-2
3.085835583E0,5.064862967E-1,-1.038078219E-1,3.548257053E-2
3.095791583E0,4.630622864E-1,-5.268473178E-2,1.415096074E-1
3.105747583E0,4.450590312E-1,-4.290347546E-2,2.437164038E-1
3.115702583E0,4.669390619E-1,-3.596687689E-2,3.167036772E-1
3.125658583E0,5.308607817E-1,-8.631579578E-2,3.646557331E-1
3.135614583E0,6.039817333E-1,-1.551871449E-1,3.574629128E-1
3.145570583E0,6.450349092E-1,-1.684102863E-1,2.761099935E-1
3.155526583E0,6.375267506E-1,-1.273410469E-1,1.542149633E-1
3.165482583E0,5.731781721E-1,-2.969597839E-2,5.842612311E-2
3.175438583E0,4.628582299E-1,8.091053367E-2,4.361639172E-2
3.185394583E0,3.167436421E-1,1.428852230E-1,9.506839514E-2
3.195350583E0,1.791176349E-1,1.866458356E-1,1.972682178E-1
3.205305583E0,8.529926091E-2,1.758232713E-1,2.985040247E-1
