"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.081949958E1,4.625808716E1,5.826538086E0,-1.168038177E1
8.082945458E1,4.633512115E1,5.788780212E0,-1.156220245E1
8.083941058E1,4.648557281E1,5.797573090E0,-1.161473083E1
8.084936558E1,4.658775330E1,5.599735260E0,-1.173004913E1
8.085932158E1,4.672711945E1,5.596206665E0,-1.182743835E1
8.086927658E1,4.684165192E1,5.434673309E0,-1.179152679E1
8.087923258E1,4.689984894E1,5.160770416E0,-1.207260132E1
8.088918758E1,4.704067993E1,4.930015564E0,-1.232074738E1
8.089914358E1,4.694056702E1,4.593372345E0,-1.282608032E1
8.090909858E1,4.700975037E1,4.303756714E0,-1.275456238E1
8.091905458E1,4.713208771E1,4.291278839E0,-1.312068176E1
8.092900958E1,4.709484863E1,4.079746246E0,-1.283911896E1
8.093896558E1,4.729341125E1,3.920829773E0,-1.283876801E1
8.094892058E1,4.737653351E1,3.797210693E0,-1.273867035E1
8.095887658E1,4.763234711E1,3.788520813E0,-1.246745300E1
8.096883158E1,4.790193176E1,3.691570282E0,-1.202802277E1
8.097878758E1,4.790874481E1,3.625858307E0,-1.170965576E1
8.098874258E1,4.796899414E1,3.534606934E0,-1.145959473E1
8.099869858E1,4.811196899E1,3.482364655E0,-1.143614197E1
8.100865358E1,4.824559021E1,3.454830170E0,-1.136072540E1
8.101860958E1,4.836441803E1,3.537487030E0,-1.140910339E1
8.102856458E1,4.841493988E1,3.564582825E0,-1.156175995E1
8.103852058E1,4.846168518E1,3.636600494E0,-1.149655914E1
8.104847558E1,4.856580353E1,3.705749512E0,-1.121584320E1
8.105843158E1,4.860179901E1,3.873332977E0,-1.105359650E1
8.106838658E1,4.866501617E1,4.106121063E0,-1.076943970E1
8.107834258E1,4.874574280E1,4.176879883E0,-1.047335052E1
8.108829758E1,4.879981232E1,4.285022736E0,-1.046064758E1
8.109825358E1,4.874932861E1,4.522922516E0,-1.016740417E1
8.110820858E1,4.885375214E1,4.690917969E0,-1.025068665E1
8.111816458E1,4.872888947E1,4.992134094E0,-1.033317566E1
8.112811958E1,4.882339478E1,5.076507568E0,-1.047159576E1
8.113807558E1,4.895446014E1,5.118022919E0,-1.032513428E1
8.114803058E1,4.895546722E1,5.370292664E0,-1.044001770E1
8.115798658E1,4.901695251E1,5.420654297E0,-1.037725830E1
8.116794158E1,4.913136292E1,5.406703949E0,-1.017627716E1
8.117789758E1,4.914145660E1,5.367507935E0,-9.947639465E0
8.118785258E1,4.932753754E1,5.478271484E0,-9.852310181E0
8.119780858E1,4.928991699E1,5.724624634E0,-9.966537476E0
8.120776358E1,4.934974670E1,5.953163147E0,-9.571228027E0
8.121771958E1,4.935336304E1,6.318069458E0,-9.374275208E0
8.122767458E1,4.951033783E1,6.465370178E0,-9.015762329E0
8.123763058E1,4.970566559E1,6.489795685E0,-8.632484436E0
8.124758558E1,4.973094940E1,6.647026062E0,-8.518478394E0
8.125754158E1,4.988935852E1,6.658699036E0,-8.462844849E0
8.126749658E1,4.998432922E1,6.630966187E0,-8.383644104E0
8.127745158E1,5.011647034E1,6.603088379E0,-8.619430542E0
8.128740758E1,5.012301636E1,6.487148285E0,-8.707855225E0
8.129736358E1,5.023506927E1,6.451194763E0,-8.714134216E0
8.130731858E1,5.023414612E1,6.528572083E0,-8.737403870E0
8.131727358E1,5.018937683E1,6.737258911E0,-8.532096863E0
8.132722958E1,5.028054810E1,6.803638458E0,-8.527740479E0
8.133718458E1,5.030097198E1,7.179450989E0,-8.279876709E0
